
2024/09/17 (23:15:50) | ===> btop++ v.1.3.2
2024/09/17 (23:15:50) | INFO: Logger set to INFO
2024/09/17 (23:15:51) | INFO: Logger set to DEBUG

2024/09/25 (05:56:18) | ===> btop++ v.1.4.0
2024/09/25 (05:56:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (20:06:18) | ===> btop++ v.1.4.0
2024/09/25 (20:06:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (22:20:21) | ===> btop++ v.1.4.0
2024/09/25 (22:20:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (03:54:35) | ===> btop++ v.1.4.0
2024/09/29 (03:54:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (04:01:47) | ===> btop++ v.1.4.0
2024/09/29 (04:01:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (04:20:01) | ===> btop++ v.1.4.0
2024/09/29 (04:20:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (01:17:50) | ===> btop++ v.1.4.0
2024/09/30 (01:17:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (04:50:16) | ===> btop++ v.1.4.0
2024/09/30 (04:50:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (05:44:17) | ===> btop++ v.1.4.0
2024/10/01 (05:44:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (05:51:44) | ===> btop++ v.1.4.0
2024/10/01 (05:51:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (05:53:48) | ===> btop++ v.1.4.0
2024/10/01 (05:53:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (06:58:41) | ===> btop++ v.1.4.0
2024/10/01 (06:58:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (07:01:34) | ===> btop++ v.1.4.0
2024/10/01 (07:01:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (22:16:44) | ===> btop++ v.1.4.0
2024/10/01 (22:16:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (22:49:36) | ===> btop++ v.1.4.0
2024/10/01 (22:49:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (02:42:13) | ===> btop++ v.1.4.0
2024/10/02 (02:42:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (05:46:57) | ===> btop++ v.1.4.0
2024/10/02 (05:46:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (07:23:25) | ===> btop++ v.1.4.0
2024/10/02 (07:23:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (23:27:28) | ===> btop++ v.1.4.0
2024/10/03 (23:27:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (04:29:25) | ===> btop++ v.1.4.0
2024/10/04 (04:29:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (20:33:06) | ===> btop++ v.1.4.0
2024/10/04 (20:33:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (10:22:34) | ===> btop++ v.1.4.0
2024/10/06 (10:22:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (14:10:33) | ===> btop++ v.1.4.0
2024/10/06 (14:10:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (19:53:02) | ===> btop++ v.1.4.0
2024/10/06 (19:53:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (10:15:23) | ===> btop++ v.1.4.0
2024/10/07 (10:15:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (14:11:32) | ===> btop++ v.1.4.0
2024/10/07 (14:11:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (14:24:41) | ===> btop++ v.1.4.0
2024/10/08 (14:24:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (17:33:15) | ===> btop++ v.1.4.0
2024/10/09 (17:33:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (17:42:53) | ===> btop++ v.1.4.0
2024/10/09 (17:42:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (18:14:06) | ===> btop++ v.1.4.0
2024/10/09 (18:14:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (18:14:41) | ===> btop++ v.1.4.0
2024/10/09 (18:14:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (20:19:49) | ===> btop++ v.1.4.0
2024/10/09 (20:19:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (10:38:51) | ===> btop++ v.1.4.0
2024/10/10 (10:38:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (12:40:14) | ===> btop++ v.1.4.0
2024/10/10 (12:40:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (20:21:36) | ===> btop++ v.1.4.0
2024/10/10 (20:21:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (18:57:39) | ===> btop++ v.1.4.0
2024/10/11 (18:57:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (14:41:41) | ===> btop++ v.1.4.0
2024/10/12 (14:41:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (20:17:41) | ===> btop++ v.1.4.0
2024/10/12 (20:17:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (18:21:07) | ===> btop++ v.1.4.0
2024/10/13 (18:21:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (10:44:40) | ===> btop++ v.1.4.0
2024/10/14 (10:44:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (12:00:01) | ===> btop++ v.1.4.0
2024/10/14 (12:00:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (16:17:29) | ===> btop++ v.1.4.0
2024/10/14 (16:17:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (16:18:43) | ===> btop++ v.1.4.0
2024/10/14 (16:18:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (15:12:04) | ===> btop++ v.1.4.0
2024/10/15 (15:12:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (14:48:34) | ===> btop++ v.1.4.0
2024/10/18 (14:48:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (15:14:28) | ===> btop++ v.1.4.0
2024/10/18 (15:14:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (08:59:15) | ===> btop++ v.1.4.0
2024/10/19 (08:59:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (16:36:53) | ===> btop++ v.1.4.0
2024/10/20 (16:36:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (18:57:43) | ===> btop++ v.1.4.0
2024/10/22 (18:57:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (11:33:46) | ===> btop++ v.1.4.0
2024/10/23 (11:33:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (18:04:03) | ===> btop++ v.1.4.0
2024/10/23 (18:04:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (15:33:25) | ===> btop++ v.1.4.0
2024/10/24 (15:33:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (15:48:19) | ===> btop++ v.1.4.0
2024/10/25 (15:48:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (16:36:22) | ===> btop++ v.1.4.0
2024/10/25 (16:36:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:04:07) | ===> btop++ v.1.4.0
2024/10/27 (10:04:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (14:32:30) | ===> btop++ v.1.4.0
2024/10/28 (14:32:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (17:27:33) | ===> btop++ v.1.4.0
2024/10/28 (17:27:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (15:14:37) | ===> btop++ v.1.4.0
2024/10/30 (15:14:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (15:37:33) | ===> btop++ v.1.4.0
2024/10/30 (15:37:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (12:12:44) | ===> btop++ v.1.4.0
2024/11/01 (12:12:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (12:04:17) | ===> btop++ v.1.4.0
2024/11/02 (12:04:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (10:44:34) | ===> btop++ v.1.4.0
2024/11/03 (10:44:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (13:40:03) | ===> btop++ v.1.4.0
2024/11/04 (13:40:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (13:54:38) | ===> btop++ v.1.4.0
2024/11/04 (13:54:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (19:13:04) | ===> btop++ v.1.4.0
2024/11/04 (19:13:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (12:42:34) | ===> btop++ v.1.4.0
2024/11/06 (12:42:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (19:42:55) | ===> btop++ v.1.4.0
2024/11/06 (19:42:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (17:48:59) | ===> btop++ v.1.4.0
2024/11/07 (17:48:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (18:26:44) | ===> btop++ v.1.4.0
2024/11/07 (18:26:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (15:57:11) | ===> btop++ v.1.4.0
2024/11/08 (15:57:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (11:24:14) | ===> btop++ v.1.4.0
2024/11/09 (11:24:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (15:05:22) | ===> btop++ v.1.4.0
2024/11/09 (15:05:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (09:21:56) | ===> btop++ v.1.4.0
2024/11/10 (09:21:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (19:06:39) | ===> btop++ v.1.4.0
2024/11/12 (19:06:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:44:29) | ===> btop++ v.1.4.0
2024/11/13 (12:44:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:44:39) | ===> btop++ v.1.4.0
2024/11/13 (12:44:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:44:45) | ===> btop++ v.1.4.0
2024/11/13 (12:44:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:44:47) | ===> btop++ v.1.4.0
2024/11/13 (12:44:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (14:43:37) | ===> btop++ v.1.4.0
2024/11/16 (14:43:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (14:43:52) | ===> btop++ v.1.4.0
2024/11/16 (14:43:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (14:08:45) | ===> btop++ v.1.4.0
2024/11/17 (14:08:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (14:27:54) | ===> btop++ v.1.4.0
2024/11/17 (14:27:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (17:40:59) | ===> btop++ v.1.4.0
2024/11/17 (17:40:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (09:56:24) | ===> btop++ v.1.4.0
2024/11/18 (09:56:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (10:10:35) | ===> btop++ v.1.4.0
2024/11/18 (10:10:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (10:10:46) | ===> btop++ v.1.4.0
